+--------------------------------------------------------------------------------------------+
| Starting Game between Echo & ToddlerProof 
| 
| Echo plays S | ToddlerProof plays V | ToddlerProof wins
| Echo plays S | ToddlerProof plays V | ToddlerProof wins
| Echo plays V | ToddlerProof plays V | Draw Match
| Echo plays P | ToddlerProof plays V | Echo wins
| Echo plays S | ToddlerProof plays V | ToddlerProof wins
| Echo plays R | ToddlerProof plays V | ToddlerProof wins
| Echo plays R | ToddlerProof plays V | ToddlerProof wins
| Echo plays V | ToddlerProof plays V | Draw Match
| Echo plays R | ToddlerProof plays V | ToddlerProof wins
| Echo plays R | ToddlerProof plays V | ToddlerProof wins
| Echo plays L | ToddlerProof plays V | Echo wins
| Echo plays V | ToddlerProof plays V | Draw Match
| Echo plays S | ToddlerProof plays V | ToddlerProof wins
| Echo plays P | ToddlerProof plays V | Echo wins
| Echo plays S | ToddlerProof plays V | ToddlerProof wins
| Echo plays S | ToddlerProof plays V | ToddlerProof wins
| Echo plays S | ToddlerProof plays V | ToddlerProof wins
| Echo plays S | ToddlerProof plays V | ToddlerProof wins
| Echo plays P | ToddlerProof plays V | Echo wins
| Echo plays S | ToddlerProof plays V | ToddlerProof wins
| Echo plays L | ToddlerProof plays V | Echo wins
| Echo plays S | ToddlerProof plays V | ToddlerProof wins
| Echo plays L | ToddlerProof plays V | Echo wins
| Echo plays P | ToddlerProof plays V | Echo wins
| Echo plays P | ToddlerProof plays V | Echo wins
| Echo plays R | ToddlerProof plays V | ToddlerProof wins
| Echo plays P | ToddlerProof plays V | Echo wins
| Echo plays V | ToddlerProof plays V | Draw Match
| Echo plays L | ToddlerProof plays V | Echo wins
| Echo plays V | ToddlerProof plays V | Draw Match
| Echo plays S | ToddlerProof plays V | ToddlerProof wins
| Echo plays P | ToddlerProof plays V | Echo wins
| Echo plays S | ToddlerProof plays V | ToddlerProof wins
| Echo plays R | ToddlerProof plays V | ToddlerProof wins
| Echo plays V | ToddlerProof plays V | Draw Match
| Echo plays R | ToddlerProof plays V | ToddlerProof wins
| Echo plays L | ToddlerProof plays V | Echo wins
| Echo plays S | ToddlerProof plays V | ToddlerProof wins
| Echo plays L | ToddlerProof plays V | Echo wins
| Echo plays S | ToddlerProof plays V | ToddlerProof wins
| Echo plays P | ToddlerProof plays V | Echo wins
| Echo plays P | ToddlerProof plays V | Echo wins
| Echo plays R | ToddlerProof plays V | ToddlerProof wins
| Echo plays V | ToddlerProof plays V | Draw Match
| Echo plays V | ToddlerProof plays V | Draw Match
| Echo plays L | ToddlerProof plays V | Echo wins
| Echo plays S | ToddlerProof plays V | ToddlerProof wins
| Echo plays S | ToddlerProof plays V | ToddlerProof wins
| Echo plays P | ToddlerProof plays V | Echo wins
| Echo plays R | ToddlerProof plays V | ToddlerProof wins
| Echo plays R | ToddlerProof plays V | ToddlerProof wins
| Echo plays V | ToddlerProof plays V | Draw Match
| Echo plays S | ToddlerProof plays V | ToddlerProof wins
| Echo plays L | ToddlerProof plays V | Echo wins
| Echo plays P | ToddlerProof plays V | Echo wins
| Echo plays R | ToddlerProof plays V | ToddlerProof wins
| Echo plays P | ToddlerProof plays V | Echo wins
| Echo plays P | ToddlerProof plays V | Echo wins
| Echo plays S | ToddlerProof plays V | ToddlerProof wins
| Echo plays R | ToddlerProof plays V | ToddlerProof wins
| Echo plays P | ToddlerProof plays V | Echo wins
| Echo plays V | ToddlerProof plays V | Draw Match
| Echo plays L | ToddlerProof plays V | Echo wins
| Echo plays L | ToddlerProof plays V | Echo wins
| Echo plays V | ToddlerProof plays V | Draw Match
| Echo plays V | ToddlerProof plays V | Draw Match
| Echo plays L | ToddlerProof plays V | Echo wins
| Echo plays V | ToddlerProof plays V | Draw Match
| Echo plays P | ToddlerProof plays V | Echo wins
| Echo plays S | ToddlerProof plays V | ToddlerProof wins
| Echo plays L | ToddlerProof plays V | Echo wins
| Echo plays P | ToddlerProof plays V | Echo wins
| Echo plays S | ToddlerProof plays V | ToddlerProof wins
| Echo plays P | ToddlerProof plays V | Echo wins
| Echo plays P | ToddlerProof plays V | Echo wins
| Echo plays R | ToddlerProof plays V | ToddlerProof wins
| Echo plays V | ToddlerProof plays V | Draw Match
| Echo plays V | ToddlerProof plays V | Draw Match
| Echo plays S | ToddlerProof plays V | ToddlerProof wins
| Echo plays P | ToddlerProof plays V | Echo wins
| Echo plays P | ToddlerProof plays V | Echo wins
| Echo plays R | ToddlerProof plays V | ToddlerProof wins
| Echo plays P | ToddlerProof plays V | Echo wins
| Echo plays V | ToddlerProof plays V | Draw Match
| Echo plays R | ToddlerProof plays V | ToddlerProof wins
| Echo plays P | ToddlerProof plays V | Echo wins
| Echo plays L | ToddlerProof plays V | Echo wins
| Echo plays V | ToddlerProof plays V | Draw Match
| Echo plays L | ToddlerProof plays V | Echo wins
| Echo plays P | ToddlerProof plays V | Echo wins
| Echo plays P | ToddlerProof plays V | Echo wins
| Echo plays L | ToddlerProof plays V | Echo wins
| Echo plays L | ToddlerProof plays V | Echo wins
| Echo plays L | ToddlerProof plays V | Echo wins
| Echo plays L | ToddlerProof plays V | Echo wins
| Echo plays V | ToddlerProof plays V | Draw Match
| Echo plays S | ToddlerProof plays V | ToddlerProof wins
| Echo plays L | ToddlerProof plays V | Echo wins
| Echo plays S | ToddlerProof plays V | ToddlerProof wins
| Echo plays S | ToddlerProof plays V | ToddlerProof wins
| 
| Game Time: 00:00:09.0077864
| 
| Result: Echo vs ToddlerProof: 43 - 39
+--------------------------------------------------------------------------------------------+
| Starting Game between Echo & SmarterBot 
| 
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays R | SmarterBot plays L | Echo wins
| 
| Game Time: 00:00:08.3002406
| 
| Result: Echo vs SmarterBot: 39 - 43
+--------------------------------------------------------------------------------------------+
| Starting Game between Echo & Markov 
| 
| Echo plays V | Markov plays V | Draw Match
| Echo plays P | Markov plays V | Echo wins
| Echo plays L | Markov plays V | Echo wins
| Echo plays L | Markov plays L | Draw Match
| Echo plays L | Markov plays S | Markov wins
| Echo plays L | Markov plays V | Echo wins
| Echo plays P | Markov plays S | Markov wins
| Echo plays S | Markov plays R | Markov wins
| Echo plays R | Markov plays P | Markov wins
| Echo plays R | Markov plays S | Echo wins
| Echo plays L | Markov plays V | Echo wins
| Echo plays R | Markov plays P | Markov wins
| Echo plays S | Markov plays P | Echo wins
| Echo plays V | Markov plays P | Markov wins
| Echo plays S | Markov plays P | Echo wins
| Echo plays S | Markov plays L | Echo wins
| Echo plays V | Markov plays L | Markov wins
| Echo plays P | Markov plays P | Draw Match
| Echo plays V | Markov plays L | Markov wins
| Echo plays V | Markov plays L | Markov wins
| Echo plays V | Markov plays R | Echo wins
| Echo plays S | Markov plays V | Markov wins
| Echo plays P | Markov plays V | Echo wins
| Echo plays V | Markov plays R | Echo wins
| Echo plays P | Markov plays R | Echo wins
| Echo plays V | Markov plays R | Echo wins
| Echo plays L | Markov plays P | Echo wins
| Echo plays L | Markov plays V | Echo wins
| Echo plays L | Markov plays R | Markov wins
| Echo plays P | Markov plays S | Markov wins
| Echo plays L | Markov plays L | Draw Match
| Echo plays R | Markov plays L | Echo wins
| Echo plays R | Markov plays S | Echo wins
| Echo plays L | Markov plays S | Markov wins
| Echo plays R | Markov plays P | Markov wins
| Echo plays S | Markov plays L | Echo wins
| Echo plays V | Markov plays V | Draw Match
| Echo plays S | Markov plays V | Markov wins
| Echo plays S | Markov plays L | Echo wins
| Echo plays R | Markov plays L | Echo wins
| Echo plays P | Markov plays P | Draw Match
| Echo plays V | Markov plays P | Markov wins
| Echo plays V | Markov plays R | Echo wins
| Echo plays V | Markov plays R | Echo wins
| Echo plays S | Markov plays S | Draw Match
| Echo plays P | Markov plays P | Draw Match
| Echo plays L | Markov plays L | Draw Match
| Echo plays P | Markov plays R | Echo wins
| Echo plays P | Markov plays L | Markov wins
| Echo plays L | Markov plays L | Draw Match
| Echo plays R | Markov plays R | Draw Match
| Echo plays L | Markov plays P | Echo wins
| Echo plays R | Markov plays R | Draw Match
| Echo plays L | Markov plays R | Markov wins
| Echo plays S | Markov plays R | Markov wins
| Echo plays R | Markov plays P | Markov wins
| Echo plays S | Markov plays V | Markov wins
| Echo plays R | Markov plays V | Markov wins
| Echo plays V | Markov plays R | Echo wins
| Echo plays R | Markov plays V | Markov wins
| Echo plays V | Markov plays L | Markov wins
| Echo plays S | Markov plays S | Draw Match
| Echo plays V | Markov plays P | Markov wins
| Echo plays S | Markov plays S | Draw Match
| Echo plays P | Markov plays L | Markov wins
| Echo plays V | Markov plays L | Markov wins
| Echo plays P | Markov plays R | Echo wins
| Echo plays R | Markov plays P | Markov wins
| Echo plays P | Markov plays L | Markov wins
| Echo plays L | Markov plays L | Draw Match
| Echo plays L | Markov plays V | Echo wins
| Echo plays R | Markov plays S | Echo wins
| Echo plays V | Markov plays L | Markov wins
| Echo plays P | Markov plays P | Draw Match
| Echo plays P | Markov plays L | Markov wins
| Echo plays L | Markov plays P | Echo wins
| Echo plays L | Markov plays S | Markov wins
| Echo plays V | Markov plays S | Echo wins
| Echo plays V | Markov plays V | Draw Match
| Echo plays P | Markov plays L | Markov wins
| Echo plays P | Markov plays R | Echo wins
| Echo plays S | Markov plays L | Echo wins
| Echo plays R | Markov plays V | Markov wins
| Echo plays R | Markov plays P | Markov wins
| Echo plays S | Markov plays R | Markov wins
| Echo plays P | Markov plays L | Markov wins
| Echo plays V | Markov plays R | Echo wins
| Echo plays P | Markov plays P | Draw Match
| Echo plays V | Markov plays R | Echo wins
| Echo plays P | Markov plays S | Markov wins
| Echo plays V | Markov plays V | Draw Match
