+--------------------------------------------------------------------------------------------+
| Starting Game between Echo & ToddlerProof 
| 
| Echo plays L | ToddlerProof plays V | Echo wins
| Echo plays V | ToddlerProof plays S | Echo wins
| Echo plays S | ToddlerProof plays P | Echo wins
| Echo plays P | ToddlerProof plays R | Echo wins
| Echo plays R | ToddlerProof plays L | Echo wins
| Echo plays L | ToddlerProof plays V | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
| Echo plays V | ToddlerProof plays n | Echo wins
