+--------------------------------------------------------------------------------------------+
| Starting Game between BetterLisaSimpson & ConcessionBot 
| 
| BetterLisaSimpson plays P | ConcessionBot plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays V | Draw Match
| BetterLisaSimpson plays V | ConcessionBot plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays S | ConcessionBot wins
| BetterLisaSimpson plays P | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays S | ConcessionBot wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays V | Draw Match
| BetterLisaSimpson plays P | ConcessionBot plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays S | ConcessionBot wins
| BetterLisaSimpson plays V | ConcessionBot plays V | Draw Match
| BetterLisaSimpson plays P | ConcessionBot plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays S | ConcessionBot wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays S | ConcessionBot wins
| BetterLisaSimpson plays P | ConcessionBot plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays V | Draw Match
| BetterLisaSimpson plays V | ConcessionBot plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays S | ConcessionBot wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays S | ConcessionBot wins
| BetterLisaSimpson plays P | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays S | ConcessionBot wins
| BetterLisaSimpson plays P | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays V | Draw Match
| BetterLisaSimpson plays P | ConcessionBot plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays V | BetterLisaSimpson wins
| BetterLisaSimpson plays P | ConcessionBot plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | ConcessionBot plays V | Draw Match
| BetterLisaSimpson plays V | ConcessionBot plays V | Draw Match
| BetterLisaSimpson plays P | ConcessionBot plays R | BetterLisaSimpson wins
| 
| Game Time: 00:00:20.3379733
| 
| Result: BetterLisaSimpson vs ConcessionBot: 85 - 8
+--------------------------------------------------------------------------------------------+
| Starting Game between BetterLisaSimpson & OboeBeater 
| 
| BetterLisaSimpson plays P | OboeBeater plays R | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeBeater plays P | OboeBeater wins
| BetterLisaSimpson plays P | OboeBeater plays S | OboeBeater wins
| BetterLisaSimpson plays P | OboeBeater plays P | Draw Match
| BetterLisaSimpson plays V | OboeBeater plays V | Draw Match
| BetterLisaSimpson plays P | OboeBeater plays P | Draw Match
| BetterLisaSimpson plays V | OboeBeater plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays V | OboeBeater plays L | OboeBeater wins
